stock_id,virtual_date,weekday,volume,quantity,last_price,begin_price,highest_price,lowest_price
0,-4,0,0,0,110,110,110,110
0,-3,0,0,0,130,130,130,130
0,-2,0,0,0,90,90,90,90
0,-1,0,0,0,160,160,160,160
0,0,0,2408.44,13,186.3483870967742,180,186.35,180
1,-4,0,0,0,80,80,80,80
1,-3,0,0,0,95,95,95,95
1,-2,0,0,0,70,70,70,70
1,-1,0,0,0,115,115,115,115
1,0,0,59977.11360603595,420,142.27786867864933,140,143.48,140
2,-4,0,0,0,220,220,220,220
2,-3,0,0,0,190,190,190,190
2,-2,0,0,0,210,210,210,210
2,-1,0,0,0,180,180,180,180
2,0,0,3888.069954086318,19,203.60427915518824,200,206.63,200
-1,0,0,66273.62000000001,452,182.81334030832852,178.85714285714283,184.14,178.86
0,1,0,745.4,4,186.3497453310696,186.3483870967742,186.35,186.3497453310696
1,1,0,72084.32069463731,496,142.70455977354737,142.27786867864933,147.5,142.28
2,1,0,4527.646259621003,22,203.89725192420065,203.60427915518824,208.06,203.6
-1,1,0,77357.37,522,183.0669847029356,182.81334030832852,185.92,182.81
0,2,0,27593.43359704232,141,196.29073122689312,186.3497453310696,196.29073122689312,186.35
1,2,0,36202.792483070625,261,144.0832118672326,142.70455977354737,144.0832118672326,137.33
2,2,0,5144.933994562257,25,204.21549932028213,203.89725192420065,208.73,203.9
-1,2,0,68941.15,427,186.142425156407,183.0669847029356,186.142425156407,181.71
0,3,0,0,0,196.29073122689312,196.29073122689312,196.29073122689312,196.29073122689312
1,3,0,0,0,144.0832118672326,144.0832118672326,144.0832118672326,144.0832118672326
2,3,0,0,0,204.21549932028213,204.21549932028213,204.21549932028213,204.21549932028213
-1,3,0,0,0,186.142425156407,186.142425156407,186.142425156407,186.142425156407
