person_id,stock_id,virtual_date,weekday,quantity,cost_price,current_price,profit,start_date
-1,0,0,0,137,0,180,0,0
-1,1,0,0,0,0,140,0,0
-1,2,0,0,245,0,200,0,0
0,0,0,0,6,184,186.35,0.012771739130434752,0
1,1,0,0,0,142.27786867864933,141.84,-0.003077560007862497,0
2,2,0,0,0,204.24242424242425,206.63,0.011701919310614895,0
2,0,0,0,7,186.3483870967742,186.35,0,0
0,2,0,0,5,206.62848484848487,203.6,-0.014663891980835316,0
2,1,0,0,325,142.1812586274521,142.28,0.0007033338022224948,0
0,1,0,0,8,142.5714747145973,142.28,-0.0020340885179209655,0
0,0,1,1,6,184,186.35,0.012771739130434752,0
0,2,1,1,10,207.45180662455593,203.9,-0.017112557242709006,0
0,1,1,1,8,142.57,142.7,0.0009118327838955984,0
2,0,1,1,7,186.35,186.35,0,0
2,1,1,1,134,144.64996245354087,142.7,-0.013480815762184701,0
-1,0,1,1,137,0,186.3483870967742,0,0
-1,1,1,1,118,0,142.27786867864933,0,0
-1,2,1,1,240,0,203.60427915518824,0,0
1,1,1,1,83,146.07908473145784,142.7,-0.023138006571741674,1
0,0,2,2,11,186.91007666733893,196.29,0.05018458081429562,0
0,2,2,2,10,207.45,204.22,-0.015570016871535261,0
0,1,2,2,22,143.09238559411943,144.08,0.0069187224823538266,0
1,1,2,2,120,139.08764996957555,144.08,0.0358760514774607,1
2,0,2,2,139,195.68686041037637,196.29,0.0030660738923807772,0
2,1,2,2,0,144.65,142.7,-0.013480815762184701,0
-1,0,2,2,0,0,186.3497453310696,0,0
-1,1,2,2,201,0,142.70455977354737,0,0
-1,2,2,2,238,0,203.89725192420065,0,0
1,2,2,2,2,207.03522447110726,204.22,-0.013620556414219442,2
2,2,2,2,0,208.73016546906854,208.73,0,2
0,0,3,3,11,186.91,196.29,0.05018458081429562,0
0,2,3,3,10,207.45,204.22,-0.015570016871535261,0
0,1,3,3,22,143.09,144.08,0.0069187224823538266,0
1,1,3,3,120,139.09,144.08,0.0358760514774607,1
1,2,3,3,2,207.04,204.22,-0.013620556414219442,2
2,0,3,3,139,195.69,196.29,0.0030660738923807772,0
-1,0,3,3,0,0,196.29073122689312,0,0
-1,1,3,3,201,0,144.0832118672326,0,0
-1,2,3,3,238,0,204.21549932028213,0,0
