person_id,virtual_date,cash,asset,wealth,work_income,capital_gain,daily_expense,principle
-1,0,0,105000,105000,0,0,0,NA
0,0,36722.285778040794,3274.34,39996.62577804079,500,-3.369999999999976,60,conservative
1,0,29740.13707333977,0,29740.13707333977,400,0,80,radical
2,0,2481.530734514902,47545.45,50026.9807345149,600,32.49999999999815,90,radical
0,1,35235.37814357745,4298.7,39534.07814357745,500,-20.3599999999999,868.7525155608158,conservative
1,1,16988.77710626153,11844.099999999999,28832.877106261527,400,-280.540000000002,674.8027414667954,radical
2,1,36311.23855910675,20426.25,56737.48855910675,600,-261.3000000000023,1243.119614690298,radical
-1,1,34929.240434183725,75412.77742527919,110342.01785946291,0,0,0,NA
0,2,31979.882256844077,7371.150000000001,39351.032256844075,500,92.66000000000025,862.001562871549,conservative
1,2,12480.456704106497,17698.04,30178.496704106496,400,593.1600000000011,694.8375421252306,radical
2,2,30829.292468092506,27284.309999999998,58113.602468092504,600,83.39999999999921,1289.469771182135,radical
-1,2,23467.434215594465,91304.39362544328,114771.82784103774,0,0,0,NA
0,3,32110.9016117072,7371.150000000001,39482.0516117072,500,92.66000000000025,866.9806451368817,conservative
1,3,14550.686770024367,17698.04,32248.72677002437,400,593.1600000000011,739.7699340821299,radical
2,3,32573.860418730656,27284.309999999998,59858.17041873065,600,83.39999999999921,1313.4320493618502,radical
-1,3,42498.070347899054,77564.0144235409,120062.08477143996,0,0,0,NA
