person_id,virtual_date,cash,asset,wealth,work_income,capital_gain,daily_expense,principle
-1,0,0,105000,105000,0,0,0,NA
0,0,39295.22727272727,707.6999999999999,40002.92727272727,500,2.950000000000017,60,conservative
1,0,29433.832167832166,566.16,29999.99216783217,400,0,80,radical
0,1,38547.868727272726,707.6999999999999,39255.56872727272,500,2.950000000000017,862.3585454545454,conservative
1,1,28843.992324475523,566.16,29410.152324475523,400,0,681.8398433566433,radical
-1,1,2815.138948251748,104034.51398601398,106849.65293426572,0,0,0,NA
