person_id,stock_id,virtual_date,weekday,quantity,cost_price,current_price,profit,start_date
-1,0,0,0,45,0,180,0,0
-1,1,0,0,66,0,140,0,0
-1,2,0,0,169,0,200,0,0
5,0,0,0,10,182.57142857142856,188.64,0.03324752149860324,0
4,0,0,0,10,184.96659131673377,188.64,0.019841055306265815,0
8,0,0,0,10,184.00408163265303,188.64,0.02521739130434775,0
3,0,0,0,19,186.78041673955033,188.64,0.00995823964021836,0
2,0,0,0,15,184.9230750861658,188.64,0.020116807268007783,0
0,1,0,0,23,143.4989608906235,146.65,0.02195121951219516,0
6,2,0,0,11,203.40013223139232,208.6,0.025565388397246747,0
1,2,0,0,4,202.4406224406225,208.6,0.03042876901798062,0
7,2,0,0,8,203.4394039272088,208.6,0.02536374360990954,0
6,0,0,0,6,186.09985129305457,188.64,0.01364857603439007,0
7,0,0,0,23,187.39723173298424,188.64,0.006616862326574069,0
8,1,0,0,23,144.10940860641023,146.65,0.01762542502255216,0
3,1,0,0,17,144.72976098914435,146.65,0.013266081669315389,0
1,1,0,0,6,144.08577980093332,146.65,0.01776667360677356,0
5,2,0,0,23,206.54446727581416,208.6,0.009973854943352388,0
1,0,0,0,12,188.0080019624836,188.64,0.003350885591191934,0
2,1,0,0,18,145.67722485013212,146.65,0.006658429434376708,0
5,1,0,0,11,145.4589133310578,146.65,0.008180943214629435,0
4,1,0,0,12,145.91047721525106,146.65,0.005071619491467405,0
7,1,0,0,10,146.02599605096583,146.65,0.004245702937752548,0
6,1,0,0,14,146.4229263824307,146.65,0.001570823657970347,0
0,2,0,0,10,207.3168748644758,208.6,0.006174030484275522,0
8,2,0,0,15,207.89772000438728,208.6,0.003367003367003312,0
2,2,0,0,6,207.47995561860023,208.6,0.005398110661268578,0
4,2,0,0,4,207.8302694080305,208.6,0.0037049511620073222,0
0,1,1,1,23,143.5,156.7,0.09198606271776996,0
0,2,1,1,18,211.90706513381363,227.97,0.07578689066112973,0
1,2,1,1,7,210.8363670793792,227.97,0.08124644280022764,0
1,1,1,1,10,148.5465986331243,156.7,0.054863682261864534,0
1,0,1,1,19,190.4919582031688,203.56,0.06861252559189455,0
2,0,1,1,15,184.92,203.56,0.100800346095609,0
2,1,1,1,26,146.8079480631203,156.7,0.06736598324364816,0
2,2,1,1,21,215.78716866030507,227.97,0.05644376477130547,0
3,0,1,1,19,186.78,203.56,0.08983831245315345,0
3,1,1,1,31,148.5014068824964,156.7,0.05521885521885514,0
4,0,1,1,10,184.97,203.56,0.10050278423528142,0
4,1,1,1,18,148.63445563777432,156.7,0.05429590257686869,0
4,2,1,1,7,209.7705338434502,227.97,0.08676169137626918,0
5,0,1,1,10,182.57,203.56,0.114969600701101,0
5,2,1,1,35,212.4164171099848,227.97,0.07320402975237743,0
5,1,1,1,30,148.83074087798826,156.7,0.05287912383256047,0
6,2,1,1,19,209.72100304798997,227.97,0.08702078962426092,0
6,0,1,1,11,191.50304143993577,203.56,0.06297650130548305,0
6,1,1,1,20,149.39749189369476,156.7,0.048862115127175254,0
7,2,1,1,14,208.07086396155617,227.97,0.09564089008506756,0
7,0,1,1,30,188.3030099937224,203.56,0.0810408921933085,0
7,1,1,1,10,146.03,156.7,0.0730671779771279,0
8,0,1,1,22,193.59111076730423,203.56,0.051500594038948286,0
8,1,1,1,32,147.09080356623477,156.7,0.0653341491603779,0
8,2,1,1,28,213.04990945260533,227.97,0.07003050927012432,0
-1,0,1,1,0,0,188.6440058874507,0,0
-1,1,1,1,0,0,146.64585276486136,0,0
-1,2,1,1,92,0,208.603685723687,0,0
0,0,1,1,14,197.30103120576385,203.56,0.031728332488596,1
3,2,1,1,9,218.96597393417585,227.97,0.04110152075626798,1
0,1,2,2,23,143.5,159.19,0.10933797909407664,0
0,2,2,2,18,211.91,245.47,0.1583691189655986,0
0,0,2,2,15,197.75703259075323,206.28,0.04308252427184471,1
1,2,2,2,14,222.68906382461608,245.47,0.1022946697202389,0
1,1,2,2,10,148.55,159.19,0.07162571524739135,0
1,0,2,2,19,190.49,206.28,0.08289149036694834,0
2,0,2,2,15,184.92,206.28,0.11550940947436736,0
2,1,2,2,32,149.06573066963657,159.19,0.06788756959817539,0
2,2,2,2,29,222.93096115526464,245.47,0.1011079711120082,0
3,0,2,2,19,186.78,206.28,0.104400899453903,0
3,1,2,2,31,148.5,159.19,0.07198653198653197,0
3,2,2,2,21,227.6652692900715,245.47,0.0781833355294945,1
4,0,2,2,10,184.97,206.28,0.11520787154673733,0
4,1,2,2,22,150.35647482596525,159.19,0.05872572492684213,0
4,2,2,2,7,209.77,245.47,0.17018639462268192,0
5,0,2,2,16,191.46243425121216,206.28,0.07740520213099338,0
5,2,2,2,40,216.5507466116788,245.47,0.13354883398753167,0
5,1,2,2,30,148.83,159.19,0.06960962171605177,0
6,2,2,2,22,213.80234257343656,245.47,0.14812909260991575,0
6,0,2,2,11,191.5,206.28,0.07718015665796345,0
6,1,2,2,20,149.4,159.19,0.06552878179384197,0
7,2,2,2,34,224.52680804137833,245.47,0.09326147953502872,0
7,0,2,2,30,188.3,206.28,0.09548592671269245,0
7,1,2,2,10,146.03,159.19,0.0901184688077792,0
8,0,2,2,22,193.59,206.28,0.06555090655509065,0
8,1,2,2,32,147.09,159.19,0.08226256033720847,0
8,2,2,2,33,217.34075916084873,245.47,0.12942854513665222,0
-1,0,2,2,0,0,203.55688737613875,0,0
-1,1,2,2,0,0,156.700201479938,0,0
-1,2,2,2,32,0,227.97291077882497,0,0
0,1,3,3,26,145.59906103989456,161.69,0.11050824175824178,0
