stock_id,virtual_date,weekday,volume,quantity,last_price,begin_price,highest_price,lowest_price
0,-4,0,0,0,110,110,110,110
0,-3,0,0,0,130,130,130,130
0,-2,0,0,0,90,90,90,90
0,-1,0,0,0,160,160,160,160
0,0,0,19520.9160235498,105,188.6440058874507,180,188.6440058874507,180
1,-4,0,0,0,80,80,80,80
1,-3,0,0,0,95,95,95,95
1,-2,0,0,0,70,70,70,70
1,-1,0,0,0,115,115,115,115
1,0,0,19423.23096935403,134,146.64585276486136,140,146.64585276486136,140
2,-4,0,0,0,220,220,220,220
2,-3,0,0,0,190,190,190,190
2,-2,0,0,0,210,210,210,210
2,-1,0,0,0,180,180,180,180
2,0,0,16693.085800065808,81,208.603685723687,200,208.603685723687,200
-1,0,0,55637.23999999999,320,186.94910783392035,178.85714285714283,186.94910783392035,178.86
0,1,0,8873.05,45,203.55688737613875,188.6440058874507,203.56,188.64
1,1,0,10078.89,66,156.700201479938,146.64585276486136,156.700201479938,146.65
2,1,0,16865.59746467295,77,227.97291077882497,208.603685723687,227.97291077882497,208.6
-1,1,0,35817.53999999999,188,202.6884489479548,186.94910783392035,202.6884489479548,186.95
0,2,0,1441.86,7,206.28315800323244,203.55688737613875,206.28315800323244,203.56
1,2,0,1585.53,10,159.194676285674,156.700201479938,159.194676285674,156.7
2,2,0,14259.42986446715,60,245.46597289343015,227.97291077882497,245.46597289343015,227.97
-1,2,0,17286.82,77,212.38471282626335,202.6884489479548,212.38471282626335,202.69
0,3,0,1460.12,7,209.4660087896105,206.28315800323244,209.47,206.28
1,3,0,1610.52,10,161.6918623457529,159.194676285674,161.6918623457529,159.19
2,3,0,8048.17,32,256.4622464008911,245.46597289343015,256.4622464008911,245.47
-1,3,0,11118.81,49,219.10539717185827,212.38471282626335,219.11,212.38
0,4,0,1482.87,7,212.517777465762,209.4660087896105,212.52,209.47
1,4,0,1636.3,10,164.2308333509181,161.6918623457529,164.2308333509181,161.69
2,4,0,3112.45,12,261.10550433575827,256.4622464008911,261.11,256.46
-1,4,0,6231.62,29,222.77827183037328,219.10539717185827,222.78,219.11
0,5,0,0,0,212.517777465762,212.517777465762,212.517777465762,212.517777465762
1,5,0,0,0,164.2308333509181,164.2308333509181,164.2308333509181,164.2308333509181
2,5,0,0,0,261.10550433575827,261.10550433575827,261.10550433575827,261.10550433575827
-1,5,0,0,0,222.77827183037328,222.77827183037328,222.77827183037328,222.77827183037328
