person_id,virtual_date,cash,asset,wealth,work_income,capital_gain,daily_expense,principle
-1,0,0,105000,105000,0,0,0,NA
0,0,34626.39001699253,5458.950000000001,40085.34001699253,500,85.25000000000014,60,conservative
1,0,26069.62860030454,3977.98,30047.60860030454,400,47.559999999999945,80,radical
2,0,43359.07781258521,6720.9,50079.97781258521,600,79.97999999999999,90,radical
3,0,38990.75123000949,6077.21,45067.96123000949,550,67.97999999999999,70,conservative
4,0,27568.08082191178,4480.599999999999,32048.680821911777,350,48.65999999999991,50,moderate
5,0,51823.66580389912,8297.35,60121.01580389912,700,121.16999999999996,100,aggressive
6,0,34596.07904899098,5479.539999999999,40075.61904899098,450,75.66000000000008,60,moderate
7,0,47602.11028236944,7474.02,55076.130282369435,600,75.99999999999957,80,conservative
8,0,51727.00102628751,8388.35,60115.351026287506,700,115.31999999999952,70,aggressive
0,1,30024.805818197707,10557.4,40582.205818197705,500,680.3199999999997,877.2868003398506,conservative
1,1,23230.428200177623,7030.43,30260.858200177627,400,449.7399999999996,690.9921720060908,radical
2,1,38662.111958601155,11914.97,50577.08195860116,600,792.52,1109.4795562517045,radical
3,1,34698.29781445416,10777.07,45475.36781445416,550,654.0199999999998,987.5392246001898,conservative
4,1,25899.54319248369,6451.99,32351.533192483686,350,458.55999999999983,702.8936164382355,moderate
5,1,45999.06239007152,14715.55,60714.61239007152,700,990.2499999999998,1323.3803160779823,aggressive
6,1,30773.616177829528,9704.59,40478.20617782953,450,625.4099999999996,876.0923809798196,moderate
7,1,44713.577874785675,10865.38,55578.95787478567,600,843.0999999999997,1200.2426056473887,conservative
8,1,44898.08340430094,15875.88,60773.963404300936,700,944.6199999999992,1294.7870205257502,aggressive
-1,1,64699.90904951643,53421.62943471923,118121.53848423566,0,0,0,NA
0,2,30210.266212972452,11174.03,41384.29621297245,500,1092.7500000000002,897.3841163639541,conservative
1,2,21710.008562483257,8947.8,30657.808562483257,400,725.3299999999997,701.6771640035525,radical
2,2,36098.11358269416,15306.91,51405.02358269416,600,1297.9,1130.6016391720232,radical
3,2,32237.44177315577,14009.080000000002,46246.52177315576,550,1075.69,1006.6273562890832,conservative
4,2,25362.83008246278,7283.27,32646.10008246278,350,657.2599999999995,713.2106638496738,moderate
5,2,43969.04132978355,17894.98,61864.02132978354,700,1704.719999999999,1349.9922478014305,aggressive
6,2,30338.540517657333,10853.22,41191.760517657334,450,1055.1199999999997,893.1041235565907,moderate
7,2,40016.26292491049,16126.28,56142.542924910485,600,1382.9599999999996,1216.3791574957136,conservative
8,2,44287.35908390691,17732.75,62020.10908390691,700,1594.6699999999996,1323.8792680860188,aggressive
-1,2,109750.32890571606,20973.507791651893,130723.83669736797,0,0,0,NA
0,3,29352.08808788835,12731.649999999998,42083.73808788835,500,1397.0299999999995,913.865924259449,conservative
1,3,21113.599114069064,10072.14,31185.739114069063,400,968.2999999999998,713.1161712496652,radical
2,3,36575.63704168967,15915.16,52490.79704168967,600,1746.5199999999998,1153.9204716538834,radical
3,3,30373.37644780084,16886.879999999997,47260.256447800835,550,1461.619999999999,1028.0504354631153,conservative
4,3,24795.415811085975,8216.48,33011.895811085975,350,842.9599999999994,720.9420016492555,moderate
5,3,43393.45973794741,19742.92,63136.379737947405,700,2313.3099999999986,1378.120426595671,aggressive
6,3,30474.775462007216,11389.56,41864.33546200722,450,1384.599999999999,908.8752103531468,moderate
7,3,38885.16065488613,18274.89,57160.05065488612,600,1898.409999999999,1237.6508584982098,conservative
8,3,42475.71039661056,20810.199999999997,63285.91039661056,700,2166.7599999999984,1351.302181678138,aggressive
-1,3,136442.97961137386,7854.911132589765,144297.89074396362,0,0,0,NA
0,4,29712.293905816263,13105.32,42817.613905816266,500,1608.63,930.7347617577672,conservative
1,4,20988.253562491984,10727.08,31715.333562491986,400,1134.4300000000003,725.4947822813813,radical
2,4,36153.27165806901,17242.18,53395.45165806901,600,2013.3400000000008,1176.0959408337935,radical
3,4,31053.208958148105,17376.88,48430.0889581481,550,1741.44,1054.085128956017,conservative
4,4,24524.872392735084,8871.58,33396.45239273508,350,981.3199999999998,729.7579162217195,moderate
5,4,42385.690630075675,21845.88,64231.57063007567,700,2647.3200000000006,1406.0675947589482,aggressive
6,4,30051.610679359816,12362.59,42414.20067935981,450,1583.23,922.7667092401445,moderate
7,4,38491.89927294758,19622.08,58113.97927294758,600,2207.7200000000007,1261.3210130977225,conservative
8,4,43176.57441121259,21371.050000000003,64547.62441121259,700,2515.1600000000003,1381.6182079322114,aggressive
-1,4,157149.71930109453,0,157149.71930109453,0,0,0,NA
0,5,30242.42162769994,13105.32,43347.74162769994,500,1608.63,945.8722781163252,conservative
1,5,21408.786891242144,10727.08,32135.86689124214,400,1134.4300000000003,737.4666712498397,radical
2,5,36880.88262490763,17242.18,54123.06262490763,600,2013.3400000000008,1196.3890331613802,radical
3,5,31941.28717898514,17376.88,49318.16717898514,550,1741.44,1077.921779162962,conservative
4,5,24812.423344880383,8871.58,33684.00334488038,350,981.3199999999998,738.4490478547017,moderate
5,5,43333.45921747416,21845.88,65179.33921747416,700,2647.3200000000006,1432.2314126015135,aggressive
6,5,30465.34666577262,12362.59,42827.93666577262,450,1583.23,935.2640135871962,moderate
7,5,39215.49968748863,19622.08,58837.57968748863,600,2207.7200000000007,1282.3995854589516,conservative
8,5,44086.28192298834,21371.050000000003,65457.33192298834,700,2515.1600000000003,1407.292488224252,aggressive
-1,5,173134.610838561,0,173134.610838561,0,0,0,NA
