stock_id,virtual_date,weekday,volume,quantity,last_price,begin_price,highest_price,lowest_price
0,-4,0,0,0,437.53,437.53,437.53,437.53
0,-3,0,0,0,439.4,439.4,439.4,439.4
0,-2,0,0,0,441.2,441.2,441.2,441.2
0,-1,0,0,0,437.8,437.8,437.8,437.8
0,0,0,13429.219901162953,30,449.02990116295234,445.6,449.02990116295234,445.6
1,-4,0,0,0,453.11,453.11,453.11,453.11
1,-3,0,0,0,468.12,468.12,468.12,468.12
1,-2,0,0,0,470.3,470.3,470.3,470.3
1,-1,0,0,0,460.75,460.75,460.75,460.75
1,0,0,15936.40420908511,34,470.65736818085185,465.8,470.65736818085185,465.8
2,-4,0,0,0,498.31,498.31,498.31,498.31
2,-3,0,0,0,470.1,470.1,470.1,470.1
2,-2,0,0,0,465.25,465.25,465.25,465.25
2,-1,0,0,0,455.9,455.9,455.9,455.9
2,0,0,229002.74283060583,511,443.58289758008306,440.6,451.9,440.6
-1,0,0,258368.36,575,452.68526768214815,449.0502662007176,455.56,449.05
0,1,0,22060.93,49,451.58285348703566,449.02990116295234,451.58285348703566,449.03
1,1,0,11310.237935790568,24,472.5893119301895,470.65736818085185,472.5893119301895,470.15
2,1,0,98144.16876389585,221,447.2604612576762,443.58289758008306,447.2604612576762,440.67
-1,1,0,131515.34,294,455.5334683970972,452.68526768214815,455.5334683970972,452.31
0,2,0,18531.804274937174,41,452.61213746858556,451.58285348703566,452.75,451.58
1,2,0,19883.034953427614,42,475.487476713806,472.5893119301895,475.487476713806,472.59
2,2,0,25404.351095986294,57,445.1610959862938,447.2604612576762,447.26,444.71
-1,2,0,63819.18,140,455.7799534600174,455.5334683970972,455.7799534600174,454.8
0,3,0,17221.726744935928,38,453.94674493592817,452.61213746858556,453.95,452.61
1,3,0,24303.65164082714,51,478.37541020678475,475.487476713806,478.37541020678475,475.49
2,3,0,74157.97684363557,168,442.62042772722305,445.1610959862938,445.16,439.03
-1,3,0,115683.36,257,455.9369598336204,455.7799534600174,455.9369598336204,454.04
0,4,0,34858.768759649975,77,452.3617519299954,453.94674493592817,453.95,451.04
1,4,0,17596.5687874949,37,474.67878749489944,478.37541020678475,478.38,474.27
2,4,0,37634.38420785635,85,441.594517321362,442.62042772722305,443.85,441.594517321362
-1,4,0,90089.72,199,454.0063361270719,455.9369598336204,455.94,454.0063361270719
0,5,0,0,0,452.3617519299954,452.3617519299954,452.3617519299954,452.3617519299954
1,5,0,0,0,474.67878749489944,474.67878749489944,474.67878749489944,474.67878749489944
2,5,0,0,0,441.594517321362,441.594517321362,441.594517321362,441.594517321362
-1,5,0,0,0,454.0063361270719,454.0063361270719,454.0063361270719,454.0063361270719
