person_id,stock_id,virtual_date,weekday,quantity,cost_price,current_price,profit,start_date
-1,0,0,0,1200,0,445.6,0,0
-1,1,0,0,1000,0,465.8,0,0
-1,2,0,0,1481,0,440.6,0,0
1,2,0,0,35,443.3213529411765,447.53,0.00949652621131458,0
0,2,0,0,84,447.63357902813306,447.53,-0.00022339878917861344,0
0,2,1,1,87,447.712705401577,450.03,0.005181925800183139,0
1,2,1,1,62,446.311366136096,450.03,0.008335013779659811,0
-1,0,1,1,1199,0,445.6,0,0
-1,1,1,1,902,0,465.8,0,0
-1,2,1,1,1451,0,447.52963051871444,0,0
2,1,1,1,98,472.75888329979875,472.58,-0.0003807428716473619,1
2,0,1,1,1,445.73753086419754,445.74,0,1
0,2,2,2,89,447.7760207381665,450.65,0.006409397471972855,0
1,2,2,2,64,446.43267268947204,450.65,0.00945276975113673,0
2,1,2,2,98,472.76,472.58,-0.0003807428716473619,1
2,0,2,2,1,445.74,445.74,0,1
-1,0,2,2,1199,0,445.73753086419754,0,0
-1,1,2,2,902,0,472.5842117483224,0,0
-1,2,2,2,1445,0,450.02845664573385,0,0
2,2,2,2,2,450.4406899336893,450.65,0.0004662108160908879,2
0,2,3,3,89,447.78,450.65,0.006409397471972855,0
1,2,3,3,64,446.43,450.65,0.00945276975113673,0
2,1,3,3,98,472.76,472.58,-0.0003807428716473619,1
2,0,3,3,1,445.74,445.74,0,1
2,2,3,3,2,450.44,450.65,0.0004662108160908879,2
-1,0,3,3,1199,0,445.73753086419754,0,0
-1,1,3,3,902,0,472.5842117483224,0,0
-1,2,3,3,1445,0,450.64792284841,0,0
